time,temperature
2021-01-01,26.300001
2021-02-01,28.300001
2021-03-01,30.4
2021-04-01,29.800001
2021-05-01,30.5
2021-06-01,30.4
2021-07-01,29.5
2021-08-01,29.6
2021-09-01,28.4
2021-10-01,28.7
2021-11-01,28.7
2021-12-01,27.300001
2022-01-01,28.2
2022-02-01,28.2
2022-03-01,30.0
2022-04-01,30.1
2022-05-01,29.1
2022-06-01,30.1
2022-07-01,29.300001
2022-08-01,28.9
2022-09-01,28.300001
2022-10-01,28.2
2022-11-01,28.7
2022-12-01,27.0
2023-01-01,26.800001
2023-02-01,28.7
2023-03-01,29.800001
2023-04-01,32.100002
2023-05-01,31.4
2023-06-01,30.6
2023-07-01,30.2
2023-08-01,29.800001
2023-09-01,29.1
2023-10-01,29.2
2023-11-01,28.9
2023-12-01,28.800001
