Time,Max Temperature (°C)
0001-01-01 00:00:00,31.950865
0001-01-02 00:00:00,32.35493
0001-01-03 00:00:00,32.438538
0001-01-04 00:00:00,32.70155
0001-01-05 00:00:00,32.91478
0001-01-06 00:00:00,32.70285
0001-01-07 00:00:00,32.66393
0001-01-08 00:00:00,32.414207
0001-01-09 00:00:00,32.244125
0001-01-10 00:00:00,32.216496
0001-01-11 00:00:00,32.101566
0001-01-12 00:00:00,32.13373
0001-01-13 00:00:00,32.131454
0001-01-14 00:00:00,32.223415
0001-01-15 00:00:00,32.038303
0001-01-16 00:00:00,32.08321
0001-01-17 00:00:00,32.31337
0001-01-18 00:00:00,32.58631
0001-01-19 00:00:00,32.4054
0001-01-20 00:00:00,32.953846
0001-01-21 00:00:00,32.85472
0001-01-22 00:00:00,32.737587
0001-01-23 00:00:00,32.793724
0001-01-24 00:00:00,32.583805
0001-01-25 00:00:00,32.3137
0001-01-26 00:00:00,32.431553
0001-01-27 00:00:00,32.383503
0001-01-28 00:00:00,32.423553
0001-01-29 00:00:00,32.682827
0001-01-30 00:00:00,32.42154
0001-01-31 00:00:00,32.766872
0001-02-01 00:00:00,32.782707
0001-02-02 00:00:00,32.69311
0001-02-03 00:00:00,32.449093
0001-02-04 00:00:00,32.864075
0001-02-05 00:00:00,32.99875
0001-02-06 00:00:00,32.88322
0001-02-07 00:00:00,33.050888
0001-02-08 00:00:00,32.853996
0001-02-09 00:00:00,33.15901
0001-02-10 00:00:00,33.32731
0001-02-11 00:00:00,33.593033
0001-02-12 00:00:00,33.656616
0001-02-13 00:00:00,33.35189
0001-02-14 00:00:00,33.541374
0001-02-15 00:00:00,33.838688
0001-02-16 00:00:00,33.967937
0001-02-17 00:00:00,34.067062
0001-02-18 00:00:00,33.69553
0001-02-19 00:00:00,33.91909
0001-02-20 00:00:00,33.724216
0001-02-21 00:00:00,33.661118
0001-02-22 00:00:00,34.117874
0001-02-23 00:00:00,34.051964
0001-02-24 00:00:00,34.29662
0001-02-25 00:00:00,34.32615
0001-02-26 00:00:00,34.27244
0001-02-27 00:00:00,34.00489
0001-02-28 00:00:00,34.243694
0001-03-01 00:00:00,34.093185
0001-03-02 00:00:00,34.08722
0001-03-03 00:00:00,34.373104
0001-03-04 00:00:00,34.26582
0001-03-05 00:00:00,34.414665
0001-03-06 00:00:00,34.775166
0001-03-07 00:00:00,34.534706
0001-03-08 00:00:00,34.49731
0001-03-09 00:00:00,33.991646
0001-03-10 00:00:00,34.17256
0001-03-11 00:00:00,34.517
0001-03-12 00:00:00,34.62661
0001-03-13 00:00:00,34.767406
0001-03-14 00:00:00,34.492027
0001-03-15 00:00:00,34.60419
0001-03-16 00:00:00,34.475792
0001-03-17 00:00:00,34.570435
0001-03-18 00:00:00,34.88851
0001-03-19 00:00:00,35.028885
0001-03-20 00:00:00,34.96684
0001-03-21 00:00:00,34.767593
0001-03-22 00:00:00,34.73064
0001-03-23 00:00:00,34.841366
0001-03-24 00:00:00,35.10368
0001-03-25 00:00:00,34.790665
0001-03-26 00:00:00,34.624947
0001-03-27 00:00:00,34.727577
0001-03-28 00:00:00,34.912357
0001-03-29 00:00:00,34.72933
0001-03-30 00:00:00,34.926945
0001-03-31 00:00:00,35.066647
0001-04-01 00:00:00,35.154705
0001-04-02 00:00:00,35.442112
0001-04-03 00:00:00,35.826115
0001-04-04 00:00:00,35.480965
0001-04-05 00:00:00,35.38499
0001-04-06 00:00:00,35.342937
0001-04-07 00:00:00,35.28803
0001-04-08 00:00:00,34.96856
0001-04-09 00:00:00,35.826195
0001-04-10 00:00:00,35.844135
0001-04-11 00:00:00,35.66526
0001-04-12 00:00:00,35.383396
0001-04-13 00:00:00,35.590324
0001-04-14 00:00:00,35.78339
0001-04-15 00:00:00,35.335667
0001-04-16 00:00:00,35.69887
0001-04-17 00:00:00,35.51604
0001-04-18 00:00:00,36.079113
0001-04-19 00:00:00,36.108814
0001-04-20 00:00:00,36.2406
0001-04-21 00:00:00,36.160027
0001-04-22 00:00:00,36.065018
0001-04-23 00:00:00,36.012592
0001-04-24 00:00:00,36.110264
0001-04-25 00:00:00,35.714165
0001-04-26 00:00:00,35.543907
0001-04-27 00:00:00,35.737976
0001-04-28 00:00:00,35.144253
0001-04-29 00:00:00,35.144794
0001-04-30 00:00:00,35.391533
0001-05-01 00:00:00,35.362083
0001-05-02 00:00:00,35.579296
0001-05-03 00:00:00,35.512386
0001-05-04 00:00:00,35.578995
0001-05-05 00:00:00,35.293415
0001-05-06 00:00:00,35.509983
0001-05-07 00:00:00,35.7566
0001-05-08 00:00:00,35.682465
0001-05-09 00:00:00,35.39097
0001-05-10 00:00:00,35.32674
0001-05-11 00:00:00,35.10894
0001-05-12 00:00:00,35.04093
0001-05-13 00:00:00,34.263817
0001-05-14 00:00:00,34.59356
0001-05-15 00:00:00,34.944515
0001-05-16 00:00:00,34.988285
0001-05-17 00:00:00,34.53069
0001-05-18 00:00:00,34.188637
0001-05-19 00:00:00,34.293842
0001-05-20 00:00:00,34.4207
0001-05-21 00:00:00,34.63193
0001-05-22 00:00:00,34.477375
0001-05-23 00:00:00,34.73277
0001-05-24 00:00:00,35.038353
0001-05-25 00:00:00,34.78478
0001-05-26 00:00:00,34.575737
0001-05-27 00:00:00,34.66879
0001-05-28 00:00:00,34.80735
0001-05-29 00:00:00,34.779884
0001-05-30 00:00:00,34.330845
0001-05-31 00:00:00,34.42198
0001-06-01 00:00:00,34.895622
0001-06-02 00:00:00,34.60448
0001-06-03 00:00:00,34.187824
0001-06-04 00:00:00,34.114944
0001-06-05 00:00:00,34.138916
0001-06-06 00:00:00,34.547836
0001-06-07 00:00:00,34.43065
0001-06-08 00:00:00,34.326206
0001-06-09 00:00:00,34.004726
0001-06-10 00:00:00,33.93673
0001-06-11 00:00:00,33.986317
0001-06-12 00:00:00,34.111286
0001-06-13 00:00:00,34.2307
0001-06-14 00:00:00,34.322693
0001-06-15 00:00:00,34.099957
0001-06-16 00:00:00,34.13894
0001-06-17 00:00:00,33.650345
0001-06-18 00:00:00,33.612072
0001-06-19 00:00:00,33.5924
0001-06-20 00:00:00,33.856293
0001-06-21 00:00:00,34.07251
0001-06-22 00:00:00,34.05436
0001-06-23 00:00:00,33.829254
0001-06-24 00:00:00,33.82635
0001-06-25 00:00:00,33.50062
0001-06-26 00:00:00,33.70099
0001-06-27 00:00:00,33.40666
0001-06-28 00:00:00,33.71804
0001-06-29 00:00:00,33.559406
0001-06-30 00:00:00,33.486446
0001-07-01 00:00:00,33.39238
0001-07-02 00:00:00,33.505497
0001-07-03 00:00:00,33.570183
0001-07-04 00:00:00,33.46869
0001-07-05 00:00:00,33.24794
0001-07-06 00:00:00,33.14546
0001-07-07 00:00:00,33.692623
0001-07-08 00:00:00,33.6299
0001-07-09 00:00:00,33.4372
0001-07-10 00:00:00,33.474163
0001-07-11 00:00:00,33.29163
0001-07-12 00:00:00,33.46827
0001-07-13 00:00:00,33.19726
0001-07-14 00:00:00,33.253155
0001-07-15 00:00:00,33.34163
0001-07-16 00:00:00,33.47121
0001-07-17 00:00:00,33.403324
0001-07-18 00:00:00,33.61833
0001-07-19 00:00:00,33.503544
0001-07-20 00:00:00,33.78345
0001-07-21 00:00:00,33.57184
0001-07-22 00:00:00,33.5578
0001-07-23 00:00:00,33.49529
0001-07-24 00:00:00,33.17946
0001-07-25 00:00:00,32.746284
0001-07-26 00:00:00,32.830112
0001-07-27 00:00:00,33.126064
0001-07-28 00:00:00,33.176228
0001-07-29 00:00:00,33.222145
0001-07-30 00:00:00,32.936195
0001-07-31 00:00:00,32.703426
0001-08-01 00:00:00,32.737213
0001-08-02 00:00:00,32.875744
0001-08-03 00:00:00,32.827785
0001-08-04 00:00:00,32.948097
0001-08-05 00:00:00,32.95721
0001-08-06 00:00:00,32.90734
0001-08-07 00:00:00,33.006496
0001-08-08 00:00:00,32.947002
0001-08-09 00:00:00,32.883347
0001-08-10 00:00:00,32.97427
0001-08-11 00:00:00,33.121807
0001-08-12 00:00:00,33.389233
0001-08-13 00:00:00,33.401875
0001-08-14 00:00:00,33.304142
0001-08-15 00:00:00,33.500614
0001-08-16 00:00:00,33.292007
0001-08-17 00:00:00,33.08463
0001-08-18 00:00:00,33.47468
0001-08-19 00:00:00,33.593052
0001-08-20 00:00:00,33.06976
0001-08-21 00:00:00,33.40876
0001-08-22 00:00:00,33.53846
0001-08-23 00:00:00,33.461945
0001-08-24 00:00:00,33.395763
0001-08-25 00:00:00,33.330017
0001-08-26 00:00:00,33.403393
0001-08-27 00:00:00,33.60421
0001-08-28 00:00:00,33.37903
0001-08-29 00:00:00,33.015854
0001-08-30 00:00:00,32.688637
0001-08-31 00:00:00,32.79352
0001-09-01 00:00:00,33.149784
0001-09-02 00:00:00,33.193104
0001-09-03 00:00:00,33.25252
0001-09-04 00:00:00,33.179527
0001-09-05 00:00:00,33.31649
0001-09-06 00:00:00,33.25522
