Time,Max Temperature (°C)
1991-01-01,31.950865
1991-01-02,32.35493
1991-01-03,32.438538
1991-01-04,32.70155
1991-01-05,32.91478
1991-01-06,32.70285
1991-01-07,32.66393
1991-01-08,32.414207
1991-01-09,32.244125
1991-01-10,32.216496
1991-01-11,32.101566
1991-01-12,32.13373
1991-01-13,32.131454
1991-01-14,32.223415
1991-01-15,32.038303
1991-01-16,32.08321
1991-01-17,32.31337
1991-01-18,32.58631
1991-01-19,32.4054
1991-01-20,32.953846
1991-01-21,32.85472
1991-01-22,32.737587
1991-01-23,32.793724
1991-01-24,32.583805
1991-01-25,32.3137
1991-01-26,32.431553
1991-01-27,32.383503
1991-01-28,32.423553
1991-01-29,32.682827
1991-01-30,32.42154
1991-01-31,32.766872
1991-02-01,32.782707
1991-02-02,32.69311
1991-02-03,32.449093
1991-02-04,32.864075
1991-02-05,32.99875
1991-02-06,32.88322
1991-02-07,33.050888
1991-02-08,32.853996
1991-02-09,33.15901
1991-02-10,33.32731
1991-02-11,33.593033
1991-02-12,33.656616
1991-02-13,33.35189
1991-02-14,33.541374
1991-02-15,33.838688
1991-02-16,33.967937
1991-02-17,34.067062
1991-02-18,33.69553
1991-02-19,33.91909
1991-02-20,33.724216
1991-02-21,33.661118
1991-02-22,34.117874
1991-02-23,34.051964
1991-02-24,34.29662
1991-02-25,34.32615
1991-02-26,34.27244
1991-02-27,34.00489
1991-02-28,34.243694
1991-03-01,34.093185
1991-03-02,34.08722
1991-03-03,34.373104
1991-03-04,34.26582
1991-03-05,34.414665
1991-03-06,34.775166
1991-03-07,34.534706
1991-03-08,34.49731
1991-03-09,33.991646
1991-03-10,34.17256
1991-03-11,34.517
1991-03-12,34.62661
1991-03-13,34.767406
1991-03-14,34.492027
1991-03-15,34.60419
1991-03-16,34.475792
1991-03-17,34.570435
1991-03-18,34.88851
1991-03-19,35.028885
1991-03-20,34.96684
1991-03-21,34.767593
1991-03-22,34.73064
1991-03-23,34.841366
1991-03-24,35.10368
1991-03-25,34.790665
1991-03-26,34.624947
1991-03-27,34.727577
1991-03-28,34.912357
1991-03-29,34.72933
1991-03-30,34.926945
1991-03-31,35.066647
1991-04-01,35.154705
1991-04-02,35.442112
1991-04-03,35.826115
1991-04-04,35.480965
1991-04-05,35.38499
1991-04-06,35.342937
1991-04-07,35.28803
1991-04-08,34.96856
1991-04-09,35.826195
1991-04-10,35.844135
1991-04-11,35.66526
1991-04-12,35.383396
1991-04-13,35.590324
1991-04-14,35.78339
1991-04-15,35.335667
1991-04-16,35.69887
1991-04-17,35.51604
1991-04-18,36.079113
1991-04-19,36.108814
1991-04-20,36.2406
1991-04-21,36.160027
1991-04-22,36.065018
1991-04-23,36.012592
1991-04-24,36.110264
1991-04-25,35.714165
1991-04-26,35.543907
1991-04-27,35.737976
1991-04-28,35.144253
1991-04-29,35.144794
1991-04-30,35.391533
1991-05-01,35.362083
1991-05-02,35.579296
1991-05-03,35.512386
1991-05-04,35.578995
1991-05-05,35.293415
1991-05-06,35.509983
1991-05-07,35.7566
1991-05-08,35.682465
1991-05-09,35.39097
1991-05-10,35.32674
1991-05-11,35.10894
1991-05-12,35.04093
1991-05-13,34.263817
1991-05-14,34.59356
1991-05-15,34.944515
1991-05-16,34.988285
1991-05-17,34.53069
1991-05-18,34.188637
1991-05-19,34.293842
1991-05-20,34.4207
1991-05-21,34.63193
1991-05-22,34.477375
1991-05-23,34.73277
1991-05-24,35.038353
1991-05-25,34.78478
1991-05-26,34.575737
1991-05-27,34.66879
1991-05-28,34.80735
1991-05-29,34.779884
1991-05-30,34.330845
1991-05-31,34.42198
1991-06-01,34.895622
1991-06-02,34.60448
1991-06-03,34.187824
1991-06-04,34.114944
1991-06-05,34.138916
